,PLAYER_ID,POSITIONS,HEIGHT,WEIGHT,SALARY,FIRST_YEAR
202,60184_김창혁_1991년,포수(우투우타),179cm,80kg,3000만원,15LG
203,60197_유재호_1991년,외야수(우투우타),186cm,90kg,0,11LG
204,60198_이성진_1992년,투수(우투우타),180cm,86kg,0,12LG
205,60240_히메네스_1980년,투수(우투우타),188cm,89kg,0,0
206,60255_장민익_1991년,투수(좌투좌타),207cm,99kg,0,10두산
207,60260_김준호_1991년,외야수(우투우타),185cm,78kg,0,0
208,60263_이재학_1990년,투수(우언우타),181cm,84kg,27500만원,10두산
209,60264_정대현_1991년,투수(좌투좌타),186cm,97kg,4500만원,10두산
210,60265_김상훈_1990년,투수(우투우타),186cm,85kg,0,10두산
211,60288_김응민_1991년,포수(우투우타),178cm,90kg,3200만원,12두산
212,60291_오정환_1987년,내야수(우투우타),cm,kg,0,0
213,60293_윤명운_1991년,투수(우투우타),cm,kg,0,0
214,60295_전준홍_1991년,외야수(좌투좌타),cm,kg,0,0
215,60296_김동길_1987년,내야수(우투우타),179cm,77kg,0,10두산
216,60297_노경우_1987년,투수(우투우타),cm,kg,0,0
217,60304_이창섭_1987년,내야수(우투우타),182cm,77kg,0,10넥센
218,60329_번사이드_1977년,투수(좌투좌타),190cm,95kg,0,0
219,60336_문성현_1991년,투수(우투우타),180cm,87kg,4200만원,10넥센
220,60337_김대유_1991년,투수(좌투좌타),187cm,92kg,4500만원,10넥센
221,60339_김건태_1991년,투수(우투우타),185cm,85kg,9000만원,10넥센
222,60340_장종덕_1987년,내야수(우투우타),182cm,91kg,0,0
223,60342_정회찬_1987년,투수(우투우타),194cm,105kg,0,10넥센
224,60343_이해창_1987년,포수(우투우타),184cm,85kg,5500만원,10넥센
225,60360_최경환_1989년,투수(우언우타),cm,kg,0,0
226,60363_임성학_1987년,외야수(우투우타),179cm,78kg,0,0
227,60367_이성욱_1980년,투수(우투우타),183cm,90kg,0,0
228,60368_안규성_1991년,투수(우언좌타),185cm,86kg,0,0
229,60384_이지풍_1978년,(우투우타),178cm,80kg,0,10넥센코치
230,60404_송주호_1988년,외야수(우투좌타),181cm,75kg,0,10삼성
231,60412_안성필_1987년,외야수(우투우타),180cm,78kg,0,0
232,60415_박화랑_1991년,투수(우투우타),176cm,78kg,0,0
233,60430_레딩_1978년,투수(우투우타),181cm,100kg,0,0
234,60439_이규대_1986년,투수(우언좌타),182cm,87kg,0,0
235,60441_임진우_1987년,투수(우투우타),186cm,98kg,0,10삼성
236,60454_정민우_1991년,포수(우투좌타),177cm,93kg,0,10삼성
237,60456_백상원_1988년,내야수(우투좌타),177cm,76kg,0,10삼성
238,60457_김현우_1988년,투수(우투우타),185cm,111kg,0,10삼성
239,60461_길태곤_1991년,투수(우투우타),187cm,100kg,0,10삼성
240,60463_이만기_1987년,내야수(우투우타),cm,kg,0,0
241,60464_문선엽_1991년,외야수(좌투좌타),175cm,80kg,0,10삼성
242,60466_김재우_1987년,투수(우투우타),186cm,83kg,0,10삼성
243,60469_김형준_1984년,투수(우투우타),184cm,95kg,0,0
244,60481_타네다_1971년,(우투우타),173cm,80kg,0,10삼성코치
245,60488_오치아이_1969년,(우투우타),178cm,86kg,0,10삼성코치
246,60491_김종화_1991년,투수(우투우타),187cm,84kg,0,0
247,60493_김지훈_1991년,투수(우투우타),185cm,95kg,0,0
248,60495_홍효의_1989년,투수(우언좌타),190cm,87kg,0,13삼성
249,60496_김동은_1990년,내야수(우투우타),174cm,75kg,0,15KT
250,60497_이강혁_1991년,내야수(우투좌타),185cm,94kg,0,0
251,60523_정훈_1987년,외야수(우투우타),180cm,85kg,6400만원,10롯데
252,60524_현천웅_1987년,포수(우투우타),173cm,80kg,0,0
253,60526_변용선_1987년,포수(우투좌타),183cm,75kg,0,10롯데
254,60542_유동근_1987년,포수(우투우타),cm,kg,0,0
255,60544_홍재영_1990년,외야수(우투좌타),185cm,92kg,0,0
256,60550_이현준_1991년,투수(좌투좌타),180cm,77kg,0,10롯데
257,60554_김근호_1991년,투수(우투우타),189cm,90kg,0,0
258,60558_오태곤_1991년,내야수(우투우타),186cm,88kg,9500만원,10롯데
259,60559_박시영_1989년,투수(우투우타),180cm,88kg,7900만원,10롯데
260,60563_최헌주_1989년,투수(우투우타),cm,kg,0,0
261,60565_박승완_1988년,외야수(우투좌타),179cm,82kg,0,0
262,60566_이상호_1989년,내야수(우투우타),180cm,82kg,10000만원,13NC
263,60567_황성웅_1986년,투수(우언좌타),180cm,78kg,0,0
264,60594_사도스키_1982년,투수(우투우타),193cm,88kg,0,0
265,60605_홍재호_1987년,내야수(우투우타),180cm,79kg,0,10KIA
266,60630_김태훈_1987년,포수(우투우타),185cm,76kg,0,0
267,60634_임기준_1991년,투수(좌투좌타),182cm,86kg,8700만원,10KIA
268,60635_이정훈_1991년,투수(우투우타),183cm,87kg,0,10KIA
269,60636_심동섭_1991년,투수(좌투좌타),185cm,93kg,0,10KIA
270,60648_이인행_1991년,외야수(우투좌타),185cm,95kg,0,10KIA
271,60649_라이트_1982년,투수(우투우타),192cm,90kg,0,0
272,60650_로드리게스_1978년,투수(우투우타),188cm,85kg,0,0
273,60655_임한용_1987년,외야수(우투좌타),180cm,75kg,0,10KIA
274,60658_최병연_1986년,내야수(우투우타),178cm,83kg,0,15KIA
275,60661_박종모_1988년,투수(좌투좌타),178cm,86kg,0,0
276,60663_이제우_1991년,내야수(우투좌타),183cm,88kg,0,0
277,60667_이종환_1986년,외야수(좌투좌타),175cm,90kg,0,10KIA
278,60678_스키모토_1959년,(좌투좌타),174cm,88kg,0,10KIA코치
279,60690_변선웅_1985년,포수(우투우타),cm,kg,0,0
280,60692_서동수_1986년,외야수(좌투좌타),178cm,75kg,0,0
281,60693_이준호_1987년,외야수(우투우타),183cm,89kg,0,11KIA
282,60694_주도성_1992년,내야수(우투우타),cm,kg,0,0
283,60697_콜론_1979년,투수(우투우타),198cm,107kg,0,0
284,60699_장승욱_1986년,투수(좌투좌타),cm,kg,0,0
285,60701_조대현_1972년,(우투우타),178cm,77kg,0,10한화코치
286,60702_김덕영_1978년,(우투우타),175cm,72kg,0,0
287,60703_박재희_1983년,(우투우타),180cm,83kg,0,10한화코치
288,60713_안승민_1991년,투수(우투우타),182cm,95kg,0,10한화
289,60724_이상훈_1987년,외야수(우투우타),171cm,75kg,0,10한화
290,60726_카페얀_1981년,투수(우투우타),195cm,105kg,0,0
291,60727_부에노_1981년,투수(좌투좌타),176cm,80kg,0,0
292,60729_데폴라_1982년,투수(우투우타),187cm,95kg,0,0
293,60748_김지호_1991년,투수(우투우타),187cm,78kg,0,0
294,60757_김경태_1991년,투수(좌투좌타),183cm,90kg,3600만원,10한화
295,60759_김재우_1991년,외야수(우투좌타),181cm,72kg,0,0
296,60764_김용주_1991년,투수(좌투좌타),175cm,73kg,0,10한화
297,60766_김동빈_1991년,내야수(우투좌타),179cm,83kg,0,10한화
298,60768_이태양_1990년,투수(우투좌타),192cm,97kg,14000만원,10한화
299,60769_이동형_1991년,내야수(우투우타),182cm,78kg,0,0
300,60770_타카시로_1954년,(우투우타),168cm,77kg,0,10한화코치
301,60778_하나마스_1955년,(우투우타),177cm,81kg,0,0
302,60801_강성인_1964년,(우투우타),173cm,79kg,0,11SK코치
303,60802_홍남일_1974년,(우투우타),178cm,88kg,0,10SK코치
304,60803_이병국_1980년,(),186cm,93kg,0,10SK코치
305,60804_김회성_1979년,(우투우타),179cm,78kg,0,10SK코치
306,60805_최윤석_1987년,내야수(우투우타),175cm,75kg,0,10SK
307,60841_박종훈_1991년,투수(우언우타),186cm,90kg,29000만원,10SK
308,60845_문광은_1987년,투수(우투우타),180cm,85kg,7500만원,10SK
309,60848_최원재_1987년,투수(우언우타),185cm,92kg,0,10SK
310,60858_이재인_1989년,투수(우투우타),180cm,88kg,0,0
311,60860_김정훈_1987년,포수(우투우타),182cm,93kg,0,10SK
312,60864_이상백_1987년,투수(우투우타),180cm,100kg,0,10SK
313,60865_안정광_1989년,내야수(우투우타),184cm,88kg,0,10SK
314,60882_세리자와_1968년,(우투우타),177cm,73kg,0,10SK코치
315,60888_세키가와_1969년,(우투좌타),179cm,79kg,0,10SK코치
316,60891_조성우_1988년,내야수(우투우타),188cm,91kg,0,10SK
317,60892_방정우_1986년,투수(우투우타),cm,kg,0,0
318,60897_김문홍_1987년,외야수(우투우타),181cm,92kg,0,0
319,60911_김영수_1987년,투수(우투우타),183cm,80kg,0,0
320,60947_박치왕_1969년,(우투우타),175cm,79kg,0,94상무코치
321,60949_이창호_1987년,투수(우투우타),183cm,83kg,0,10상무
322,60977_김정택_1953년,(우투우타),172cm,74kg,0,0
323,61005_강성호_1988년,외야수(우투우타),189cm,91kg,0,0
324,61015_이태균_1989년,내야수(우투좌타),177cm,77kg,0,0
325,61047_장동웅_1988년,포수(우투우타),180cm,90kg,0,0
326,61072_황현철_1968년,(우투우타),183cm,82kg,0,0
327,61101_임찬규_1992년,투수(우투우타),185cm,80kg,13500만원,11LG
328,61102_유강남_1992년,포수(우투우타),182cm,88kg,23000만원,11LG
329,61104_정병곤_1988년,내야수(우투우타),172cm,74kg,0,11LG
330,61108_강병의_1992년,내야수(우투우타),180cm,70kg,0,11LG
331,61114_김재율_1989년,내야수(우투우타),186cm,90kg,0,11LG
332,61128_이준명_1992년,외야수(우투우타),175cm,86kg,0,0
333,61140_정다흰_1992년,투수(좌투좌타),193cm,93kg,0,11LG
334,61145_이우찬_1992년,투수(좌투좌타),183cm,88kg,7500만원,11LG
335,61154_주키치_1982년,투수(좌투좌타),195cm,98kg,0,0
336,61156_송윤준_1992년,투수(좌투좌타),186cm,78kg,2700만원,11LG
337,61158_리즈_1983년,투수(우투우타),185cm,87kg,0,0
338,61185_최인영_1989년,투수(우투우타),185cm,76kg,0,11LG
339,61186_이천웅_1988년,외야수(좌투좌타),182cm,90kg,28000만원,12LG
340,61194_이민재_1988년,외야수(좌투좌타),177cm,77kg,0,12LG
341,61196_지승환_1986년,투수(우투우타),181cm,80kg,0,0
342,61197_최영진_1988년,내야수(우투우타),185cm,87kg,8000만원,12LG
343,61202_황필선_1992년,내야수(우투좌타),180cm,70kg,0,0
344,61204_김동한_1988년,내야수(우투우타),174cm,74kg,4500만원,11두산
345,61206_천상웅_1991년,내야수(우투양타),182cm,77kg,0,0
346,61208_정진호_1988년,외야수(우투좌타),185cm,78kg,11300만원,11두산
347,61214_이현호_1992년,투수(좌투좌타),185cm,80kg,4500만원,11두산
348,61215_안규영_1988년,투수(우투우타),185cm,85kg,0,11두산
349,61228_최현진_1992년,투수(우투우타),183cm,86kg,0,11두산
350,61230_라미레즈_1982년,투수(우투우타),182cm,90kg,0,0
351,61231_페르난도_1982년,투수(우투우타),183cm,100kg,0,0
352,61240_니퍼트_1981년,투수(우투우타),203cm,103kg,0,11두산
353,61257_가야마_0,투수(),cm,kg,0,0
354,61262_이정호_1992년,투수(우언우타),184cm,88kg,0,11두산
